roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,variant,model,n
0.7073065283182015,0.9831557193566227,0.0872681280330052,0.9661654135338346,0.03383458646616541,0.672719412019023,0.7898832684824902,0.5555555555555556,0.150330736229058,0.16531502118944044,0.7037535207473453,7,266,C2_age_excluded,logistic,1331
0.7868568958063122,0.9899990957822367,0.11993587932432669,0.9661654135338346,0.03383458646616541,0.6882836143536533,0.8210116731517509,0.5555555555555556,0.1729521720770804,0.14092483999508243,0.4625564101761127,8,266,C2_age_excluded,logistic,1331
0.8400345871162992,0.9934168240464394,0.13536093536093535,0.9661654135338346,0.03383458646616541,0.7224383916990921,0.7782101167315175,0.6666666666666666,0.18919483006068896,0.1647254593896092,0.5149474503105712,9,266,C2_age_excluded,logistic,1331
0.9065460809646857,0.9962809757828622,0.42060113486607403,0.9662921348314607,0.033707865168539325,0.729328165374677,0.9031007751937985,0.5555555555555556,0.26211006595212333,0.08933831503974,0.3203678090302574,0,267,C3_relaxed,logistic,1331
0.8906182447038479,0.9923543217139562,0.4863012900493379,0.9661654135338346,0.03383458646616541,0.8841331603977518,0.8793774319066148,0.8888888888888888,0.3926941027237025,0.1103186745688058,0.40527603541039997,1,266,C3_relaxed,logistic,1331
0.9861651534803285,0.9995125829718325,0.7324989824989825,0.9661654135338346,0.03383458646616541,0.9260700389105059,0.8521400778210116,1.0,0.40395019443335695,0.11341569999664326,0.3830557486823075,2,266,C3_relaxed,logistic,1331
0.93558149589278,0.9972596528547946,0.4728409634632993,0.9661654135338346,0.03383458646616541,0.8880242109814094,0.8871595330739299,0.8888888888888888,0.4054693523061112,0.09002292470727352,0.31511054504303987,3,266,C3_relaxed,logistic,1331
0.8253350626891482,0.9891529363790305,0.4080388678229905,0.9661654135338346,0.03383458646616541,0.8421962818849978,0.9066147859922179,0.7777777777777778,0.38563666678774255,0.08902776570002505,0.34098327417910196,4,266,C3_relaxed,logistic,1331
0.9750215331610681,0.9991185189806694,0.5006413339746674,0.9662921348314607,0.033707865168539325,0.8940568475452196,0.8992248062015504,0.8888888888888888,0.4266802717271792,0.09225430072141458,0.34606293551148726,5,267,C3_relaxed,logistic,1331
0.9386078685689581,0.9972571038591054,0.6608754863963198,0.9661654135338346,0.03383458646616541,0.8938607868568957,0.8988326848249028,0.8888888888888888,0.42655703138936046,0.09645286072359525,0.3416853121815142,6,266,C3_relaxed,logistic,1331
