roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,experiment,model
0.8460873324686554,0.9922202233318318,0.3462787426807035,0.9661654135338346,0.03383458646616541,0.8363597060095115,0.8949416342412452,0.7777777777777778,0.36428251418322993,0.09269462833122648,0.3480631920558472,4,266,M4_balanced_harmonized,logistic
0.9797588285960379,0.9992910769512922,0.5376110448691095,0.9662921348314607,0.033707865168539325,0.9534883720930232,0.9069767441860465,1.0,0.49735027281476557,0.09661852272320516,0.3548551905926563,5,267,M4_balanced_harmonized,logistic
0.898400345871163,0.9954707547395942,0.6397466330609494,0.9661654135338346,0.03383458646616541,0.8207955036748811,0.8638132295719845,0.7777777777777778,0.3181247293456487,0.11016058036922723,0.3665417703772384,6,266,M4_balanced_harmonized,logistic
0.811500216169477,0.9898233064769982,0.20951685133595702,0.9661654135338346,0.03383458646616541,0.8363597060095115,0.8949416342412452,0.7777777777777778,0.36428251418322993,0.10344858810032666,0.40495379840349593,7,266,M4_balanced_harmonized,logistic
0.9079118028534371,0.9960621916484664,0.47376011068539803,0.9661654135338346,0.03383458646616541,0.891915261565067,0.8949416342412452,0.8888888888888888,0.4192470115599023,0.09259440935277694,0.3157389342939113,8,266,M4_balanced_harmonized,logistic
0.9299610894941635,0.9965042005806517,0.7443130943130944,0.9661654135338346,0.03383458646616541,0.882187635105923,0.8754863813229572,0.8888888888888888,0.38664306870970133,0.10538955774736862,0.35124002415291106,9,266,M4_balanced_harmonized,logistic
0.8501291989664084,0.9940192205499275,0.13912609597809877,0.9662921348314607,0.033707865168539325,0.7842377260981912,0.7906976744186046,0.7777777777777778,0.2443679782815748,0.1553352955363368,0.5232528550429001,0,267,M5_balanced_harmonized_no_age,logistic
0.8741893644617381,0.994998404751443,0.20530828190013306,0.9661654135338346,0.03383458646616541,0.8199308257674016,0.7509727626459144,0.8888888888888888,0.26037949827833257,0.16642064232023693,0.5736726813490582,1,266,M5_balanced_harmonized_no_age,logistic
0.9485516645049719,0.9980526600327299,0.4075922007104803,0.9661654135338346,0.03383458646616541,0.8218763510592304,0.754863813229572,0.8888888888888888,0.2631239628451916,0.17565618243625358,0.552631159546789,2,266,M5_balanced_harmonized_no_age,logistic
0.7963683527885863,0.990701584580547,0.10964857762106799,0.9661654135338346,0.03383458646616541,0.7438391699092088,0.8210116731517509,0.6666666666666666,0.22233750342870806,0.1465964377483256,0.4767881049336193,3,266,M5_balanced_harmonized_no_age,logistic
0.7674016428880243,0.9889025141378832,0.1102397168318956,0.9661654135338346,0.03383458646616541,0.7457846952010376,0.8249027237354085,0.6666666666666666,0.22577109030039083,0.13787485065363178,0.5037326754235459,4,266,M5_balanced_harmonized_no_age,logistic
0.8893195521102498,0.9952935351970345,0.31044703174520616,0.9662921348314607,0.033707865168539325,0.853359173126615,0.8178294573643411,0.8888888888888888,0.315375678697143,0.14030993313444864,0.48490639244963457,5,267,M5_balanced_harmonized_no_age,logistic
0.6692607003891051,0.9837939828522548,0.05687995474062448,0.9661654135338346,0.03383458646616541,0.633808906182447,0.7120622568093385,0.5555555555555556,0.10589330026659098,0.2069910069988332,0.6061003202253394,6,266,M5_balanced_harmonized_no_age,logistic
0.7073065283182015,0.9831557193566227,0.0872681280330052,0.9661654135338346,0.03383458646616541,0.672719412019023,0.7898832684824902,0.5555555555555556,0.150330736229058,0.16531502118944044,0.7037535207473453,7,266,M5_balanced_harmonized_no_age,logistic
0.7868568958063122,0.9899990957822367,0.11993587932432669,0.9661654135338346,0.03383458646616541,0.6882836143536533,0.8210116731517509,0.5555555555555556,0.1729521720770804,0.14092483999508243,0.4625564101761127,8,266,M5_balanced_harmonized_no_age,logistic
0.8400345871162992,0.9934168240464394,0.13536093536093535,0.9661654135338346,0.03383458646616541,0.7224383916990921,0.7782101167315175,0.6666666666666666,0.18919483006068896,0.1647254593896092,0.5149474503105712,9,266,M5_balanced_harmonized_no_age,logistic
