feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_P)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON#)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
